SampleID	Treatment	Procedure	Property	Cookingtemperature	Screwspeedrmin	Materialmoisture 	Time
#q2:types	categorical	categorical	categorical	categorical	categorical	categorical	categorical
0A0	Blank	CONTROL	CONTROL	CONTROL	CONTROL	CONTROL	24
0A	Blank	CONTROL	CONTROL	CONTROL	CONTROL	CONTROL	0
0B0	Blank	CONTROL	CONTROL	CONTROL	CONTROL	CONTROL	24
0B	Blank	CONTROL	CONTROL	CONTROL	CONTROL	CONTROL	0
1A	Ricebran	NOT EXTRUDED	SOLUBLE	NOT EXTRUDED	NOT EXTRUDED	NOT EXTRUDED	24
1B	Ricebran	NOT EXTRUDED	INSOLUBLE	NOT EXTRUDED	NOT EXTRUDED	NOT EXTRUDED	24
2A	Ricebran	NOT EXTRUDED	SOLUBLE	NOT EXTRUDED	NOT EXTRUDED	NOT EXTRUDED	24
2B	Ricebran	NOT EXTRUDED	INSOLUBLE	NOT EXTRUDED	NOT EXTRUDED	NOT EXTRUDED	24
3A	Ricebran	EXTRUDED	SOLUBLE	100	250	0.17	24
3B	Ricebran	EXTRUDED	INSOLUBLE	100	250	0.17	24
4A	Ricebran	EXTRUDED	SOLUBLE	120	250	0.17	24
4B	Ricebran	EXTRUDED	INSOLUBLE	120	250	0.17	24
5A	Ricebran	EXTRUDED	SOLUBLE	140	250	0.17	24
5B	Ricebran	EXTRUDED	INSOLUBLE	140	250	0.17	24
6A	Ricebran	EXTRUDED	SOLUBLE	160	250	0.17	24
6B	Ricebran	EXTRUDED	INSOLUBLE	160	250	0.17	24
7A	Ricebran	EXTRUDED	SOLUBLE	180	250	0.17	24
7B	Ricebran	EXTRUDED	INSOLUBLE	180	250	0.17	24
8A	Ricebran	EXTRUDED	SOLUBLE	160	250	0.17	24
8B	Ricebran	EXTRUDED	INSOLUBLE	160	250	0.17	24
9A	Ricebran	EXTRUDED	SOLUBLE	160	170	0.17	24
9B	Ricebran	EXTRUDED	INSOLUBLE	160	170	0.17	24
10A	Ricebran	EXTRUDED	SOLUBLE	160	210	0.17	24
10B	Ricebran	EXTRUDED	INSOLUBLE	160	210	0.17	24
11A	Ricebran	EXTRUDED	SOLUBLE	160	290	0.17	24
11B	Ricebran	EXTRUDED	INSOLUBLE	160	290	0.17	24
12A	Ricebran	EXTRUDED	SOLUBLE	160	330	0.17	24
12B	Ricebran	EXTRUDED	INSOLUBLE	160	250	0.17	24
13A	Ricebran	EXTRUDED	SOLUBLE	160	250	0.11	24
13B	Ricebran	EXTRUDED	INSOLUBLE	160	250	0.11	24
14A	Ricebran	EXTRUDED	SOLUBLE	160	250	0.14	24
14B	Ricebran	EXTRUDED	INSOLUBLE	160	250	0.14	24
15A	Ricebran	EXTRUDED	SOLUBLE	160	250	0.2	24
15B	Ricebran	EXTRUDED	INSOLUBLE	160	250	0.2	24
16A	Ricebran	EXTRUDED	SOLUBLE	160	250	0.23	24
16B	Ricebran	EXTRUDED	INSOLUBLE	160	250	0.23	24
29A	FOS	CONTROL	CONTROL	CONTROL	CONTROL	CONTROL	24
29B	FOS	CONTROL	CONTROL	CONTROL	CONTROL	CONTROL	24
